firstname	gender	cnt
Aadya	f	12
Aalia	f	12
Aaliya	f	17
Aaliyah	f	284
Aaminah	f	11
Aanya	f	12
Aaron	f	11
Aarya	f	12
Abarna	f	14
Abbey	f	35
Abbie	f	167
Abbigail	f	16
Abby	f	907
Abbygael	f	86
Abby-Gaelle	f	55
Abbygaelle	f	113
Abbygail	f	72
Abby-Rose	f	11
Abeer	f	35
Abegail	f	11
Abelia	f	24
Abelle	f	27
Abi	f	18
Abida	f	13
Abie	f	37
Abigael	f	638
Abigaele	f	13
Abigaelle	f	985
Abigail	f	1059
Abigayle	f	12
Abiguel	f	13
Abiguelle	f	11
Abinaya	f	22
Abir	f	83
Abira	f	14
Abirami	f	15
Abisha	f	15
Abla	f	22
Abrar	f	28
Abrielle	f	16
Abril	f	16
Aby	f	208
Abygael	f	427
Aby-Gaelle	f	41
Abygaelle	f	661
Abygail	f	147
Acacia	f	22
A Catherine	f	24
A Christine	f	25
Achta	f	11
Acil	f	20
Ada	f	65
Adalie	f	25
Adaline	f	198
Adalyne	f	31
Adalynn	f	16
Adam	f	22
Adama	f	44
Adamie	f	20
Adara	f	12
Addison	f	103
Adeena	f	16
Adel	f	19
Adela	f	44
Adelaide	f	199
Adele	f	2143
Adelia	f	123
Adeliane	f	11
Adelie	f	307
Adelina	f	102
Adeline	f	258
Adelle	f	44
Adely	f	16
Adelya	f	20
Adelyn	f	22
Adi	f	17
Adia	f	17
Adiba	f	19
Adila	f	13
Adina	f	67
Aditi	f	23
Adja	f	11
Adjani	f	11
Adjanie	f	18
Adora	f	17
Adreanne	f	18
Adria	f	22
Adriana	f	715
Adriane	f	49
Adrianna	f	217
Adrianne	f	81
Adrielle	f	21
Adrienne	f	139
Adrina	f	24
Adryana	f	11
Aela	f	21
Aelia	f	20
Afaf	f	23
Afnan	f	14
Afnane	f	30
Afrah	f	12
Afroditi	f	13
Afsana	f	18
Agata	f	32
Agate	f	16
Agatha	f	41
Agathe	f	1095
Aglae	f	136
Aglaee	f	40
Agnes	f	216
Agnieszka	f	29
Agustina	f	13
Ahlam	f	27
Ahlem	f	18
Ahuva	f	13
Aicha	f	472
Aichatou	f	12
Aida	f	192
Aidy	f	11
Aika	f	24
Aiko	f	16
Aila	f	20
Aileen	f	38
Aima	f	20
Aiman	f	12
Aimee	f	256
Aimelie	f	12
Aimie	f	55
Aimy	f	145
Aina	f	21
Ainsley	f	32
Aisa	f	11
Aisha	f	432
Aishah	f	13
Aislinn	f	16
Aissa	f	11
Aissata	f	82
Aissatou	f	148
Aitana	f	14
Aiva	f	13
Aiyana	f	39
Aiyanna	f	25
Aiza	f	34
Aizah	f	12
Akeelah	f	14
Akina	f	12
Akira	f	24
Akshara	f	12
Akshaya	f	16
Ala	f	41
Alaa	f	236
Alacie	f	34
Alae	f	99
Alaia	f	31
Alaina	f	36
Alais	f	13
Alaku	f	13
Alana	f	198
Alanah	f	17
Alanie	f	11
Alanis	f	42
Alanna	f	83
Alannah	f	52
Alasie	f	15
Alaska	f	15
Alaya	f	16
Alayah	f	11
Alayna	f	53
Alba	f	45
Albane	f	15
Albertine	f	14
Albina	f	13
Alea	f	16
Aleah	f	28
Alecia	f	24
Aleen	f	14
Aleena	f	72
Aleesha	f	22
Aleeyah	f	14
Aleeza	f	18
Aleisha	f	11
Alejandra	f	188
Aleksandra	f	139
Aleksia	f	21
Alena	f	60
Alesia	f	32
Alessa	f	35
Alessandra	f	338
Alessia	f	666
Alessya	f	17
Alex	f	480
Alexa	f	1103
Alexander	f	20
Alexandra	f	12741
Alexandra M	f	14
Alexandra Maria	f	15
Alexandre	f	233
Alexandrea	f	17
Alexandria	f	150
Alexandrie	f	13
Alexandrina	f	22
Alexandrine	f	646
Alexandryne	f	11
Alexane	f	866
Alex Ann	f	63
Alex-Ann	f	107
Alexann	f	132
Alex Anne	f	47
Alex-Anne	f	58
Alexanne	f	986
Alexcia	f	14
Alexe	f	607
Alexendra	f	34
Alexi	f	30
Alexia	f	4503
Alexiane	f	130
Alexianne	f	69
Alexia-Rose	f	12
Alexie	f	910
Alexina	f	107
Alexine	f	19
Alexis	f	336
Alex Sandra	f	39
Alex-Sandra	f	17
Alexsandra	f	22
Alex-Sandrine	f	11
Alexus	f	11
Alexy	f	49
Alexya	f	275
Alexyane	f	15
Alexyanne	f	12
Alexye	f	13
Alexys	f	14
Aleyna	f	28
Ali	f	44
Alia	f	309
Aliaa	f	13
Aliah	f	16
Aliana	f	28
Alianna	f	20
Alice	f	7606
Alicia	f	5465
Alicia Rose	f	15
Alicia-Rose	f	37
Alicie	f	14
Alicja	f	13
Alicya	f	140
Alida	f	28
Alie	f	172
Alienor	f	17
Alik	f	24
Alika	f	34
Aliki	f	15
Alima	f	26
Alina	f	393
Aline	f	370
Aliona	f	13
Alisa	f	157
Alisee	f	14
Alisha	f	194
Alishba	f	17
Alisia	f	29
Alison	f	932
Aliss	f	20
Alissa	f	367
Alissandre	f	12
Alissar	f	17
Alissia	f	91
Alisson	f	163
Alissya	f	28
Alivia	f	51
Alix	f	384
Alixe	f	69
Alixia	f	55
Aliya	f	199
Aliyah	f	296
Aliza	f	92
Alize	f	85
Alizee	f	399
Alla	f	19
Allana	f	14
Allegra	f	26
Allia	f	11
Allicia	f	12
Allie	f	144
Allison	f	909
Allissa	f	13
Allisson	f	17
Ally	f	195
Allya	f	16
Allycia	f	53
Allysa	f	11
Allysha	f	12
Allysia	f	12
Allyson	f	853
Allyssa	f	29
Allyssia	f	19
Allysson	f	27
Allysun	f	18
Alma	f	147
Alona	f	18
Alondra	f	27
Alphee	f	24
Althea	f	20
Alvina	f	13
Aly	f	173
Alya	f	243
Alyah	f	37
Alyana	f	28
Alyanna	f	28
Alyce	f	128
Alycia	f	2125
Alycia-Rose	f	13
Alyka	f	15
Alyna	f	30
Alyne	f	14
Aly-Rose	f	22
Alys	f	235
Alysa	f	27
Alysan	f	12
Alyscia	f	11
Alysee	f	17
Alysha	f	77
Alysia	f	88
Alyson	f	2252
Alysone	f	11
Alyss	f	54
Alyssa	f	2542
Alyssandre	f	13
Alyssane	f	30
Alyssa-Rose	f	14
Alysse	f	35
Alyssia	f	821
Alysson	f	416
Aly-Sun	f	11
Alysun	f	44
Alyx	f	24
Alyxia	f	23
Alyze	f	11
Alyzee	f	60
Amaelle	f	60
Amaia	f	25
Amal	f	183
Amalia	f	175
Amalie	f	21
Amalya	f	30
Aman	f	15
Amanda	f	3633
Amanda Lee	f	14
Amanda Maria	f	15
Amanda Marie	f	20
Amandeep	f	19
Amandeep Kaur	f	15
Amandine	f	258
Amani	f	135
Amany	f	15
Amar	f	16
Amara	f	64
Amarilys	f	17
Amaris	f	11
Amaryllis	f	34
Amaya	f	145
Amayah	f	22
Amayelle	f	11
Amber	f	379
Amberly	f	11
Ambre	f	154
Ameera	f	19
Amel	f	165
Amela	f	23
Amelia	f	3352
Ameliane	f	144
Amelianne	f	73
Amelia Rose	f	14
Amelia-Rose	f	23
Amelie	f	11868
Amelie-Rose	f	20
Amellia	f	12
Amely	f	323
Amelya	f	581
Amelyane	f	17
Amelyanne	f	11
Amelye	f	27
Amena	f	34
Amenda	f	11
America	f	12
Amethyste	f	11
Ami	f	12
Amie	f	18
Amielle	f	28
Amika	f	12
Amilia	f	79
Amilie	f	175
Amily	f	45
Amilya	f	16
Amina	f	768
Aminah	f	21
Aminata	f	196
Aminatou	f	12
Amine	f	28
Amira	f	628
Amirah	f	18
Amisha	f	14
Ammy	f	11
Amna	f	99
Amra	f	14
Amrita	f	29
Amy	f	2352
Amy-Jade	f	52
Amy Lee	f	23
Amy-Lee	f	76
Amylee	f	15
Amylia	f	73
Amylie	f	73
Amyra	f	20
Amy-Rose	f	51
Ana	f	458
Anabel	f	766
Anabela	f	17
Anabella	f	60
Anabelle	f	2023
Anabia	f	17
Ana Carolina	f	13
Ana Clara	f	13
Ana Cristina	f	33
Anae	f	167
Anaee	f	35
Anael	f	146
Anaelle	f	661
Ana-Eve	f	37
Anaeve	f	375
Ana Gabriela	f	22
Anahe	f	14
Anahee	f	24
Anahi	f	31
Anahid	f	12
Anahita	f	39
Anaik	f	17
Anaika	f	19
Anais	f	4274
Ana Isabel	f	19
Ana-Kim	f	11
Anakim	f	28
Ana Laura	f	16
Analia	f	17
Analie	f	19
Ana Lucia	f	34
Ana-Lucia	f	11
Ana Luisa	f	12
Anam	f	21
Ana Maria	f	174
Ana-Maria	f	77
Anamaria	f	14
Ananya	f	21
Ana Paula	f	26
Ana-Rose	f	20
Ana Sofia	f	86
Ana-Sofia	f	21
Anastacia	f	17
Anastasia	f	860
Anastasiia	f	27
Anastasiya	f	68
Anastassia	f	59
Anastassiya	f	12
Anastasya	f	20
Anastazia	f	12
Ana Victoria	f	16
Anaya	f	110
Anayah	f	30
Anays	f	14
Anca	f	19
Andie	f	58
Andra	f	39
Andre	f	12
Andrea	f	2496
Andrea Carolina	f	18
Andrea Maria	f	13
Andreana	f	12
Andreane	f	746
Andre Ann	f	17
Andreann	f	86
Andreanna	f	13
Andre Anne	f	64
Andre-Anne	f	29
Andreanne	f	4325
Andreas	f	28
Andree	f	412
Andreea	f	154
Andree Ann	f	316
Andree-Ann	f	81
Andree Anne	f	1697
Andree-Anne	f	237
Andree Eve	f	21
Andreia	f	23
Andreina	f	11
Andrew	f	12
Andria	f	42
Andriana	f	29
Andrianna	f	13
Andy	f	22
Aneesa	f	13
Anela	f	13
Anelie	f	15
Anella	f	13
Anemone	f	11
Aneta	f	12
Anfal	f	29
Anfel	f	27
Ange	f	47
Angel	f	243
Angela	f	1134
Angela Maria	f	16
Angele	f	184
Angelia	f	30
Angelic	f	35
Angelica	f	486
Angelica Maria	f	14
Angelick	f	23
Angelie	f	426
Angelik	f	139
Angelika	f	212
Angeliki	f	34
Angelina	f	864
Angeline	f	213
Angelique	f	1387
Angella	f	49
Angely	f	32
Angelyk	f	18
Angelyka	f	32
Angelyna	f	22
Angelyne	f	13
Angelyque	f	17
Angie	f	650
Angy	f	35
Anh	f	15
Anh Thu	f	18
Ani	f	45
Ania	f	245
Anica	f	12
Anicia	f	16
Anick	f	893
Anicka	f	13
Anie	f	110
Aniela	f	13
Anie Pier	f	18
Anik	f	629
Anika	f	328
Anila	f	35
Anilou	f	13
Anisa	f	52
Anisha	f	52
Anissa	f	213
Anita	f	336
Anitha	f	12
Anja	f	38
Anjali	f	67
Anjana	f	17
Ankita	f	14
Anmol	f	11
Ann	f	224
Anna	f	2531
Annabel	f	483
Annabella	f	105
Anna Belle	f	21
Anna-Belle	f	89
Annabelle	f	5257
Annae	f	17
Annael	f	36
Annaelle	f	218
Anna-Eve	f	209
Annaeve	f	50
Annah	f	11
Annais	f	24
Anna Kim	f	12
Anna-Kim	f	48
Anna-Lee	f	12
Annalie	f	11
Annalisa	f	31
Anna Maria	f	108
Anna-Maria	f	68
Annamaria	f	22
Anna Marie	f	21
Anna-Maude	f	14
Anna-May	f	23
Anna Rose	f	14
Anna-Rose	f	136
Anna Sofia	f	11
Anna Sophia	f	19
Anna-Sophia	f	16
Annastasia	f	13
Ann Catherine	f	19
Ann-Charlie	f	15
Ann-Chloe	f	12
Ann-Clara	f	17
Anne	f	2665
Anne Andree	f	22
Anne Audrey	f	12
Anne Catherine	f	60
Anne-Catherine	f	76
Anne-Charlie	f	12
Anne Charlotte	f	19
Anne-Charlotte	f	46
Anne Christine	f	11
Anne-Christine	f	11
Anne Claire	f	16
Anne-Claire	f	12
Anne Clara	f	11
Anne-Clara	f	26
Anne Claude	f	24
Anne Elisabeth	f	14
Anne-Elisabeth	f	24
Anne Elizabeth	f	19
Anne-Elizabeth	f	14
Anne Emilie	f	17
Anne-Emilie	f	12
Anne Florence	f	11
Anne-Florence	f	36
Anne-Frederic	f	11
Anne Frederique	f	78
