firstname	gender	cnt
Aaden	m	40
Aahil	m	12
Aamir	m	12
Aarav	m	47
Aariz	m	14
Aaron	m	940
Aarush	m	12
Aaryan	m	17
Aayan	m	38
Abbas	m	124
Abbass	m	15
Abdalla	m	18
Abdallah	m	173
Abdel	m	24
Abdel Aziz	m	14
Abdelaziz	m	50
Abdeldjalil	m	16
Abdelghani	m	17
Abdelhadi	m	29
Abdelhak	m	19
Abdel Hakim	m	11
Abdelhakim	m	45
Abdelhamid	m	35
Abdelilah	m	11
Abdeljalil	m	20
Abdelkader	m	61
Abdel Karim	m	17
Abdelkarim	m	39
Abdelkrim	m	28
Abdellah	m	102
Abdelmadjid	m	16
Abdelmalek	m	53
Abdelmalik	m	11
Abdel Rahman	m	32
Abdelrahman	m	45
Abdelraouf	m	11
Abdennour	m	15
Abdenour	m	20
Abderahim	m	12
Abderahmane	m	39
Abderaouf	m	29
Abderrahim	m	50
Abderrahman	m	58
Abderrahmane	m	237
Abderrahmen	m	19
Abderraouf	m	41
Abdessalam	m	12
Abdessamad	m	22
Abdias	m	17
Abdou	m	20
Abdoul	m	23
Abdoulaye	m	138
Abdoul Aziz	m	29
Abdoul Karim	m	17
Abdoullah	m	29
Abdourahamane	m	13
Abdourahmane	m	19
Abdul	m	85
Abdulaziz	m	27
Abdul Hadi	m	14
Abdul Karim	m	22
Abdulkarim	m	13
Abdulla	m	26
Abdullah	m	379
Abdullahi	m	15
Abdul Rahim	m	11
Abdul Rahman	m	56
Abdul-Rahman	m	18
Abdulrahman	m	83
Abdurahman	m	16
Abdurrahman	m	17
Abed	m	13
Abel	m	362
Abhinav	m	21
Abhishek	m	18
Abid	m	19
Abigael	m	16
Abir	m	14
Abishan	m	12
Abner	m	14
Aboubacar	m	41
Aboubakar	m	12
Aboubaker	m	11
Aboubakr	m	12
Abraham	m	533
Abrar	m	13
Abriel	m	11
Abtin	m	26
Abubakar	m	13
Ace	m	18
Achille	m	107
Achilles	m	17
Achraf	m	132
Adam	m	9628
Adama	m	34
Adame	m	29
Adamie	m	63
Adam James	m	12
Adam Joseph	m	12
Adamo	m	250
Adams	m	55
Adan	m	75
Addison	m	12
Adeeb	m	17
Adeel	m	19
Adel	m	230
Adem	m	318
Aden	m	75
Adham	m	63
Adi	m	24
Adib	m	60
Adil	m	107
Aditya	m	37
Adlane	m	15
Admir	m	11
Adnan	m	137
Adnane	m	102
Adolfo	m	21
Adonis	m	33
Adrian	m	935
Adriano	m	408
Adriel	m	89
Adrien	m	1379
Adryan	m	11
Adyan	m	27
Aedan	m	47
Aeden	m	39
Affan	m	15
Aftab	m	14
Aghilas	m	16
Aghiles	m	53
Agostino	m	17
Agustin	m	24
Ahad	m	16
Aharon	m	42
Ahcene	m	21
Ahmad	m	727
Ahmat	m	12
Ahmed	m	1247
Ahmed Amine	m	38
Ahmed Yacine	m	20
Ahmed Yassine	m	23
Ahmet	m	26
Ahron	m	15
Ahsan	m	19
Ahyan	m	11
Aidan	m	577
Aiden	m	998
Aiman	m	16
Aime	m	60
Aimen	m	19
Aimeric	m	29
Aimerick	m	28
Aisa	m	15
Aissa	m	19
Ajay	m	56
Ajmal	m	11
Akash	m	27
Akashdeep	m	11
Akbar	m	11
Akeem	m	45
Akian	m	33
Akil	m	24
Akim	m	141
Akira	m	30
Akiva	m	35
Akram	m	213
Aksel	m	209
Akshay	m	18
Akshayan	m	13
Aksil	m	167
Akym	m	13
Alaa	m	64
Alaa Eddine	m	11
Aladin	m	12
Alae	m	12
Alaeddine	m	15
Alain	m	1516
Alain Jr	m	65
Alain Junior	m	20
Alan	m	409
Alaric	m	50
Alarick	m	15
Alarik	m	16
Alasdair	m	11
Alassane	m	40
Alastair	m	15
Alban	m	59
Alberic	m	11
Albert	m	1185
Alberto	m	122
Albin	m	17
Alden	m	15
Alderic	m	21
Aldin	m	11
Aldo	m	91
Aldric	m	14
Alec	m	1339
Aleck	m	159
Alejandro	m	494
Alek	m	687
Aleks	m	12
Aleksa	m	12
Aleksandar	m	86
Aleksander	m	49
Aleksandr	m	28
Aleksandre	m	18
Aleksey	m	18
Aleksi	m	53
Aleksy	m	26
Alen	m	51
Ales	m	43
Alesandro	m	13
Alessandro	m	766
Alessio	m	362
Alex	m	9881
Alexan	m	12
Alexandar	m	11
Alexander	m	3604
Alexander James	m	16
Alexandr	m	67
Alexandra	m	60
Alex Andre	m	18
Alexandre	m	36750
Alexandre Olivier	m	18
Alexandro	m	101
Alexandros	m	134
Alexandru	m	282
Alex Antoine	m	13
Alex-Antoine	m	67
Alexavier	m	21
Alexe	m	19
Alexei	m	158
Alexendre	m	86
Alexey	m	57
Alexi	m	748
Alexie	m	20
Alexim	m	52
Alexio	m	14
Alexios	m	17
Alexis	m	15618
Alex-Olivier	m	17
Alexy	m	1383
Alexym	m	12
Alexys	m	128
Alfonso	m	40
Alfred	m	220
Alfredo	m	52
Alhassane	m	13
Ali	m	2327
Ali Hassan	m	14
Alik	m	13
Alim	m	14
Alin	m	13
Aliou	m	20
Alioune	m	21
Alioune Badara	m	12
Ali Reza	m	24
Alireza	m	37
Ali Sina	m	15
Alison	m	13
Alistair	m	52
Alix	m	362
Aliyan	m	11
Allan	m	376
Allen	m	230
Allie	m	20
Ally	m	13
Alois	m	20
Alon	m	24
Alonso	m	46
Alonzo	m	28
Aloupa	m	17
Alpha	m	41
Alpha Oumar	m	23
Alphonse	m	63
Alric	m	12
Alvaro	m	52
Alvin	m	93
Aly	m	77
Alyson	m	14
Alyx	m	36
Amadeo	m	28
Amadeus	m	14
Amadou	m	126
Amael	m	48
Amal	m	12
Aman	m	43
Amandeep	m	11
Amani	m	33
Amar	m	86
Amara	m	18
Amari	m	28
Amaury	m	37
Amayas	m	70
Amayes	m	14
Amazigh	m	22
Amber	m	34
Ambroise	m	29
Amedeo	m	15
Ameen	m	22
Ameer	m	27
Amel	m	18
Amelie	m	15
Amen	m	15
Amen Allah	m	19
Amer	m	70
Amiel	m	24
Amin	m	152
Amine	m	944
Amir	m	782
Amir Ali	m	18
Amirali	m	22
Amir Hossein	m	15
Amirhossein	m	15
Amit	m	55
Amjad	m	71
Ammar	m	105
Amnay	m	15
Amos	m	44
Amr	m	50
Amro	m	23
Amrom	m	15
Anael	m	59
Anais	m	67
Anakin	m	84
Anakyn	m	14
Anand	m	23
Anas	m	771
Anass	m	209
Anasse	m	22
Anastasios	m	83
Anatole	m	23
Anatoly	m	12
Anders	m	26
Anderson	m	162
Andi	m	28
Andre	m	1995
Andrea	m	110
Andreas	m	216
Andrei	m	368
Andrej	m	26
Andre Jr	m	73
Andre Junior	m	25
Andre Luc	m	21
Andre Michel	m	18
Andre Philippe	m	52
Andre-Philippe	m	18
Andre Pierre	m	30
Andres	m	211
Andres David	m	20
Andres Felipe	m	115
Andrew	m	4006
Andrew James	m	19
Andrey	m	77
Andrian	m	11
Andrick	m	23
Andrii	m	11
Andriy	m	34
Andro	m	21
Andrzej	m	15
Andy	m	1614
Anes	m	145
Aness	m	19
Angad	m	12
Ange	m	24
Angel	m	130
Angel David	m	15
Angel Gabriel	m	16
Angelo	m	434
Angelos	m	31
Angus	m	76
Anh Tuan	m	20
Anick	m	13
Anik	m	16
Anil	m	17
Anir	m	55
Anis	m	407
Anish	m	20
Aniss	m	38
Ankit	m	15
Anmol	m	11
Annick	m	16
Anouar	m	40
Ansel	m	11
Ansh	m	14
Anson	m	38
Anthoine	m	19
Anthon	m	14
Anthoni	m	38
Anthonie	m	12
Anthonin	m	45
Anthonny	m	15
Anthony	m	14399
Anthony Gabriel	m	14
Anthony J	m	13
Anthony James	m	37
Anthony-James	m	20
Anthony John	m	15
Anthony Joseph	m	20
Anthony Jr	m	18
Anthony Michael	m	17
Anthonyn	m	12
Antoine	m	16768
Antoine Olivier	m	15
Antoine-Olivier	m	30
Anton	m	262
Antoni	m	190
Antonie	m	16
Antonin	m	649
Antonino	m	62
Antonio	m	704
Antonios	m	57
Antonny	m	26
Antony	m	1490
Antoun	m	15
Antoyne	m	30
Antranik	m	21
Antwan	m	23
Anwar	m	65
Aous	m	11
A Philippe	m	42
Apollo	m	20
Apostolos	m	29
April	m	34
Ara	m	27
Arad	m	41
Arafat	m	12
Aram	m	78
Aramis	m	20
Aran	m	11
Aras	m	20
Arash	m	91
Archer	m	16
Archibald	m	22
Archie	m	20
Arda	m	29
Arden	m	11
Arek	m	18
Aren	m	68
Ares	m	21
Arezki	m	20
Arfan	m	13
Arham	m	38
Ari	m	97
Aria	m	26
Arian	m	60
Arie	m	18
Ariel	m	306
Arif	m	22
Arik	m	17
Aris	m	191
Arish	m	11
Aristide	m	14
Aristidis	m	17
Aristotelis	m	17
Arjun	m	50
Arlo	m	87
Armaan	m	36
Arman	m	138
Armand	m	137
Armando	m	68
Armani	m	12
Armel	m	28
Armen	m	57
Armin	m	75
Arnaud	m	3826
Arnault	m	11
Arnav	m	14
Arno	m	282
Arnold	m	53
Aron	m	188
Arris	m	31
Arsalan	m	32
Arsen	m	30
Arsene	m	53
Arsenii	m	12
Arshia	m	23
Arslan	m	24
Arslane	m	14
Artem	m	70
Arthur	m	3945
Artin	m	60
Artiom	m	35
Artur	m	92
Arturo	m	76
Artyom	m	24
Arun	m	31
Arvin	m	60
Arya	m	45
Aryan	m	129
Arye	m	22
Aryeh	m	38
Aryo	m	12
Asad	m	42
Asael	m	24
Ashar	m	14
Asher	m	172
Ashish	m	12
Ashkan	m	26
Ashley	m	242
Ashraf	m	30
Ashton	m	195
Ashvin	m	15
Ashwin	m	35
Asif	m	27
Asim	m	30
Aslan	m	21
Assad	m	16
Assalas	m	11
Assane	m	13
Assem	m	11
Asser	m	18
Assil	m	33
Assim	m	15
Assirem	m	12
Astrid	m	11
Aswin	m	15
Atanas	m	11
Athan	m	19
Athanasios	m	117
Atharv	m	11
Athavan	m	18
Atif	m	15
Atlas	m	18
Atticus	m	17
Attila	m	18
Aubert	m	52
Aubin	m	17
Aubrey	m	19
Audrey	m	55
Audric	m	40
Audrick	m	22
Audry	m	14
August	m	63
Auguste	m	310
Augustin	m	356
Augusto	m	23
Aurel	m	36
Aurele	m	53
Aurelien	m	65
Aurelio	m	11
Austen	m	15
Austin	m	522
Auston	m	14
Austyn	m	13
Avedis	m	17
Avery	m	161
Avi	m	55
Avraham	m	70
Avrohom	m	41
Avrum	m	40
Awais	m	16
Aws	m	19
Axel	m	1307
Axil	m	11
Axl	m	31
Ayaan	m	99
Ayan	m	98
Ayaz	m	20
Aydan	m	66
Ayden	m	830
Aydin	m	48
Ayham	m	38
Aylan	m	245
Aylane	m	45
Aylimas	m	11
Ayman	m	329
Aymane	m	131
Aymen	m	246
Aymene	m	21
Aymeric	m	214
Aymerick	m	97
Aymerik	m	45
Aymrick	m	28
Aymrik	m	11
