lastname	cnt
Abate	2
Aubertin	7
Béliveau	46
Borduas	8
Abbas	4
Aubin	71
Belizaire	2
Borges	2
Abbott	4
Aubrey	1
Bell	13
Borghol	1
Abboud	4
Aubry	27
Bellavance	28
Borgia	4
Abdallah	6
Aubuchon	4
Belleau	19
Bornais	2
Abdo	1
Aubut	19
Bellefeuille	10
Borno	1
Abecassis	2
Auclair	57
Bellefleur	21
Borris	2
Abel	10
Aucoin	9
Bellegarde	2
Borsellino	3
Abellard	2
Audet	146
Bellemare	59
Bossé	37
Abitbol	4
Audy	20
Bellerive	10
Bosum	4
Aboujaoude	1
Auger	100
Bellerose	18
Botelho	3
Abraham	6
Auguste	6
Belleville	8
Bouchard	529
Abran	6
Augustin	8
Bellevue	1
Boucher	340
Achille	1
Aumais	3
Belley	37
Boudreau	199
Acosta	3
Aumont	9
Bellini	1
Boudrias	13
Adam	32
Aupin	2
Bello	1
Boudriau	3
Adams	21
Aurélien	2
Beloin	3
Bouffard	63
Addison	2
Aussant	2
Belony	2
Bougie	18
Adjei	1
Austin	3
Belval	7
Bouillon	9
Adler	3
Authier	7
Belzile	29
Boulais	8
Adolphe	2
Avoine	6
Bénard	19
Boulanger	79
Aganier	1
Avon	3
Benchimol	2
Boulard	3
Agnant	1
Avril	1
Bendayan	1
Boulay	45
Agostino	2
Awad	4
Benedict	2
Boule	14
Aguiar	3
Awada	4
Benfeito	1
Boulerice	10
Aguilar	4
Awan	2
Benitez	3
Boulet	54
Aguirre	1
Awashish	24
Benjamin	14
Boulianne	61
Ahern	2
Ayala	3
Benlolo	2
Boulos	2
Ahier	1
Ayers	1
Bennett	8
Bourassa	68
Ahmad	7
Aylwin	4
Benny	3
Bourbeau	17
Ahmed	17
Ayotte	48
Benoît	125
Bourbonnais	18
Aimé	1
Ayoub	4
Bensimon	2
Bourbonnière	4
Ainalik	2
Azar	3
Benson	2
Bourcier	6
Ainsley	2
Aziz	4
Bentley	1
Bourdages	26
Aird	2
Azor	1
Benwell	2
Bourdeau	30
Airoldi	2
Azoulay	4
Bérard	27
Bourdon	27
Aitken	2
Azzi	3
Berardi	1
Bourdua	3
Akhtar	4
Babeux	3
Bercier	3
Bourgault	37
Akhter	6
Babin	30
Berger	23
Bourgelas	4
Akl	2
Babineau	7
Bergeron	398
Bourgeois	75
Alain	45
Bachand	17
Bergevin	17
Bourget	35
Alaku	2
Bacon	24
Bériault	9
Bourgie	3
Alam	3
Badeau	4
Berlinguette	3
Bourgoin	28
Alameddine	2
Badger	1
Bernaquez	2
Bourgon	8
Alarcon	2
Bah	2
Bernard	134
Bourguignon	4
Alarie	37
Bahl	2
Bernardi	1
Bourke	2
Albanese	2
Bailey	9
Bernardo	1
Bournival	12
Albert	32
Baillargeon	43
Bernatchez	29
Bourque	70
Alcindor	1
Bain	2
Berndt	1
Bourré	3
Alepin	1
Baird	3
Bernèche	4
Bourrelle	1
Alexander	7
Baker	14
Bernicky	1
Bourret	16
Alexandre	17
Balan	1
Bernier	232
Boursier	2
Alexis	4
Balasingam	1
Berniquez	4
Boursiquot	1
Alfano	1
Baldassarre	2
Bernstein	2
Bousquet	21
Alfaro	4
Balde	1
Berrouard	2
Boutet	26
Alfieri	1
Baldwin	2
Berry	4
Bouthillette	12
Alfred	2
Ball	3
Berteau	2
Bouthillier	18
Ali	14
Ballabey	2
Berthe	1
Bouthot	7
Alie	10
Ballard	4
Berthelet	8
Boutin	122
Alix	6
Balthazar	4
Berthelot	13
Boutros	3
Allaire	48
Banks	2
Berthiaume	52
Bouvette	4
Allard	157
Bannon	3
Berthold	2
Bouvier	13
Allen	24
Banville	20
Bertin	4
Bouvrette	6
Alleyne	4
Baptista	1
Bertone	1
Bowen	3
Allison	4
Baptiste	4
Bertrand	128
Bowes	2
Ally	2
Barabé	8
Bérubé	186
Boyadjian	1
Almeida	4
Barakat	1
Besner	12
Boyce	4
Alphonse	3
Baran	2
Bessette	37
Boyd	4
Althot	3
Barba	1
Besson	2
Boyer	67
Altidor	2
Barbe	13
Best	2
Boyle	4
Alvarado	4
Barbeau	37
Betit	2
Boyte	2
Alvarenga	1
Barber	3
Bétournay	2
Brabant	13
Alvarez	7
Barbier	4
Bettencourt	3
Bracken	1
Alves	4
Barbieri	2
Bettez	4
Bradette	13
Amar	4
Barbin	3
Bety	2
Bradford	1
Amaral	4
Barbosa	4
Bezeau	8
Bradley	8
Amato	4
Barclay	2
Bhatti	2
Bradshaw	2
Amaya	2
Bard	8
Bhérer	7
Brady	4
Ambroise	6
Bardier	2
Bhuiyan	1
Brais	10
Amesse	3
Bargone	1
Bianco	2
Branchaud	7
Amin	2
Baribeau	24
Biard	1
Branco	4
Amir	1
Baril	65
Bibeau	39
Branconnier	2
Amireault	2
Bariteau	1
Bibi	2
Brassard	89
Amiri	2
Barker	2
Bidegare	1
Brasseur	8
Ammar	2
Barkley	1
Biello	1
Brathwaite	3
Amos	4
Barlow	2
Bienaimé	6
Brault	74
Ampleman	3
Barnabé	4
Bienvenue	14
Braun	4
Amyot	26
Barnaby	4
Bigaouette	3
Bravo	1
Amzallag	1
Barnes	8
Bigeault	1
Bray	4
Anctil	27
Barnett	2
Bigelow	1
Brazeau	39
Andersen	1
Barolet	1
Bigras	28
Bréard	3
Anderson	24
Baron	24
Bigué	2
Brennan	6
Andrade	6
Barone	2
Bill	1
Bresse	3
Andraos	2
Barr	2
Billard	2
Breton	119
André	16
Barras	2
Billette	3
Briand	23
Andrew	1
Barré	7
Bilodeau	177
Briard	1
Andrews	6
Barrera	1
Binette	50
Bricault	4
Angel	2
Barrette	67
Biondi	1
Brideau	9
Angelopoulos	2
Barriault	14
Bird	2
Brie	3
Angers	20
Barrière	7
Biron	20
Brien	28
Anglade	1
Barrington	1
Bisaillon	20
Brière	59
Anglehart	9
Barrios	2
Bishop	4
Briggs	2
Angnatuk	4
Barry	9
Bisson	85
Brillant	6
Angrignon	3
Barsalou	4
Bissonnette	71
Brillon	2
Anichinapeo	1
Barsetti	1
Bistodeau	2
Brin	4
Annahatak	2
Barthe	3
Bitar	3
Brindamour	6
Annanack	7
Barthélémy	4
Bitton	4
Brindle	2
Annett	2
Bartlett	3
Bizier	8
Brisebois	57
Antaya	2
Basile	3
Black	8
Brissette	17
Anthony	2
Basque	8
Blackburn	39
Brisson	85
Antoine	9
Bastarache	4
Blackned	4
Brito	1
Antonacci	2
Bastien	64
Blacksmith	7
Britton	1
Antonio	1
Bastille	4
Blain	29
Brizard	3
Antonucci	1
Bastone	1
Blair	4
Brochu	74
Antoun	1
Bates	4
Blais	214
Brock	2
Antunes	2
Batista	6
Blaise	2
Brodeur	65
Anwar	2
Battisti	1
Blake	4
Bronsard	4
Aoun	3
Bauer	2
Blanc	4
Brooks	7
Apollon	2
Baum	2
Blanchard	50
Broomfield	1
Appiah	2
Bautista	2
Blanchette	175
Brophy	2
Appleby	2
Baxter	3
Blanco	1
Brossard	9
April	17
Bayard	8
Blaney	3
Brosseau	32
Aquin	2
Bazile	2
Blaquière	6
Brossoit	4
Aquino	2
Bazin	4
Bleau	17
Brouard	4
Araujo	4
Bazinet	26
Blier	12
Brouillard	27
Arbic	2
Bean	2
Blondeau	9
Brouillette	41
Arbour	28
Bearskin	4
Blondin	19
Brousseau	72
Arcand	24
Beattie	3
Blouin	97
Brown	57
Archambault	86
Beaubien	7
Blum	1
Bruce	2
Archer	4
Beaubrun	1
Bluteau	8
Brûlé	16
Archibald	1
Beaucage	17
Bobbish	3
Brulotte	9
Arcouette	2
Beaucaire	1
Bobbitt	2
Brun	6
Arcuri	2
Beauchamp	96
Bock	2
Bruneau	46
Ardouin	1
Beauchemin	57
Bockus	3
Brunelle	45
Arès	8
Beaucher	2
Bohbot	2
Brunet	108
Arevalo	2
Beauchesne	28
Bohémier	3
Bruni	1
Argento	2
Beauclair	2
Boilard	21
Brutus	4
Argueta	2
Beaudet	52
Boileau	28
Bruyère	8
Arguin	8
Beaudin	54
Boily	78
Bruzzese	2
Arial	3
Beaudoin	207
Boire	4
Bryan	2
Arias	2
Beaudreault	3
Bois	32
Bryant	2
Armand	4
Beaudry	83
Boisclair	29
Bryson	1
Armstrong	12
Beaufort	1
Boisjoli	17
Bucci	4
Arnault	3
Beaulac	14
Boismenu	4
Buchanan	4
Arnold	7
Beaulé	10
Boissé	4
Buck	2
Arpin	14
Beaulieu	300
Boisseau	4
Buckle	1
Arruda	4
Beaulne	16
Boisselle	4
Buckley	2
Arsenault	170
Beaumier	18
Boissinot	3
Buffone	2
Arteau	2
Beaumont	25
Boissonneault	37
Bui	8
Arthur	3
Beaunoyer	4
Boissy	3
Buisson	8
Arumugam	2
Beauparlant	4
Boisvenue	4
Buist	3
Arvisais	6
Beaupré	61
Boisvert	186
Bujold	41
Asfour	1
Beauregard	98
Boiteau	4
Bullfrog	1
Ash	2
Beaurivage	4
Boivin	152
Buono	1
Ashby	4
Beauseigle	2
Boland	2
Bureau	35
Ashini	1
Beauséjour	20
Bolduc	187
Burelle	6
Ashton	2
Beausoleil	21
Bombardier	14
Burgess	4
Aspirot	8
Beauvais	28
Bonami	3
Burgoyne	2
Assaad	2
Beauvillier	2
Bond	20
Burke	9
Assaf	3
Bechamp	3
Bondu	4
Burnett	2
Assayag	2
Béchard	18
Bonenfant	14
Burnham	2
Asselin	93
Beck	4
Bonhomme	8
Burns	8
Assi	2
Bécotte	3
Bonilla	3
Buron	2
Assouline	3
Bédard	250
Bonin	32
Burrows	2
Aster	1
Beebe	1
Bonneau	43
Burton	3
Atallah	3
Bégin	79
Bonnette	3
Bush	3
Athot	2
Begum	14
Bonneville	9
Busque	17
Atkinson	1
Bélair	41
Bonnier	4
Bussières	43
Atsynia	2
Béland	86
Bonsaint	2
Buteau	12
Attar	1
Bélanger	428
Bonsant	1
Butler	6
Attias	2
Belcourt	3
Booth	3
Butt	4
Au	2
Bélec	14
Bordage	2
Buttle	2
Aubé	46
Belhumeur	17
